tool,mode,threshold,t_wall,t_cpu,timeout,mc time,states,lower_bound,trans,prob,prob LP,heur_iter,info (total states:528)
fark,prmax exact,0.8999999999999999,1801.6439344882965,7201.235033699995,True,-,68.0,11.0,-,1.0,0.8999999999999999,-,-
ltlsubsys,prmax minimal,0.8999999999999999,1806.1245648860931,7203.259752466023,True,-,67.0,23.0,-,0.0,0.8999999999999999,-,-
fark,prmin,0.1,0.07264161109924316,0.07262565000564791,False,-,283,-,-,0.28210448812756445,0.1,1,-
fark,prmin,0.1,0.13731098175048828,0.1373071800044272,False,-,217,-,-,0.20914713312910405,0.1,2,-
fark,prmin,0.1,0.2014939785003662,0.20148171798791736,False,-,201,-,-,0.18261718576447983,0.1,3,-
fark,prmin,0.1,0.2649068832397461,0.2649128540069796,False,-,201,-,-,0.18261718576447983,0.1,4,-
fark,prmin,0.1,0.3290693759918213,0.32907239702763036,False,-,201,-,-,0.18261718576447983,0.1,5,-
fark,prmin,0.30000000000000004,0.07719826698303223,0.07719191402429715,False,-,292,-,-,0.5078431271261226,0.30000000000000004,1,-
fark,prmin,0.30000000000000004,0.14151811599731445,0.14151199697516859,False,-,292,-,-,0.5078431271261226,0.30000000000000004,2,-
fark,prmin,0.30000000000000004,0.21091914176940918,0.21089317899895832,False,-,292,-,-,0.5078431271261226,0.30000000000000004,3,-
fark,prmin,0.30000000000000004,0.28061366081237793,0.28061192500172183,False,-,292,-,-,0.5078431271261226,0.30000000000000004,4,-
fark,prmin,0.30000000000000004,0.34644198417663574,0.3464004129928071,False,-,292,-,-,0.5078431271261226,0.30000000000000004,5,-
fark,prmin,0.5,0.07343935966491699,0.07344274502247572,False,-,292,-,-,0.5078431271261226,0.5,1,-
fark,prmin,0.5,0.14183330535888672,0.14182641298975796,False,-,292,-,-,0.5078431271261226,0.5,2,-
fark,prmin,0.5,0.21482086181640625,0.21481416499591433,False,-,292,-,-,0.5078431271261226,0.5,3,-
fark,prmin,0.5,0.2784862518310547,0.27846160501940176,False,-,292,-,-,0.5078431271261226,0.5,4,-
fark,prmin,0.5,0.34700608253479004,0.3469881110067945,False,-,292,-,-,0.5078431271261226,0.5,5,-
fark,prmin,0.7,0.0740044116973877,0.07395377600914799,False,-,316,-,-,0.7126285792279754,0.7,1,-
fark,prmin,0.7,0.14579200744628906,0.14576981897698715,False,-,316,-,-,0.7126285792279754,0.7,2,-
fark,prmin,0.7,0.21725773811340332,0.21721991398953833,False,-,316,-,-,0.7126285792279754,0.7,3,-
fark,prmin,0.7,0.2891697883605957,0.2891756889875978,False,-,316,-,-,0.7126285792279754,0.7,4,-
fark,prmin,0.7,0.36408209800720215,0.36405544899753295,False,-,316,-,-,0.7126285792279754,0.7,5,-
fark,prmin,0.8999999999999999,0.0790407657623291,0.07901570698595606,False,-,420,-,-,0.9015686090283453,0.8999999999999999,1,-
fark,prmin,0.8999999999999999,0.15807628631591797,0.15805490798084065,False,-,420,-,-,0.9015686090283453,0.8999999999999999,2,-
fark,prmin,0.8999999999999999,0.2378239631652832,0.23781178597710095,False,-,420,-,-,0.9015686090283453,0.8999999999999999,3,-
fark,prmin,0.8999999999999999,0.31819725036621094,0.3182035179925151,False,-,420,-,-,0.9015686090283453,0.8999999999999999,4,-
fark,prmin,0.8999999999999999,0.3976466655731201,0.39729765499942005,False,-,420,-,-,0.9015686090283453,0.8999999999999999,5,-

fark,prmin exact,0.1,44.711329221725464,178.12300878300448,False,-,166.0,166.0,-,0.10449218688716494,0.1,-,-
fark,prmin exact,0.30000000000000004,19.078431367874146,75.85333826500573,False,-,233.0,233.0,-,0.30305989293164004,0.30000000000000004,-,-
fark,prmin exact,0.5,4.425449371337891,17.01223519600171,False,-,292.0,292.0,-,0.5078431271261226,0.5,-,-
fark,prmin exact,0.7,3.78680682182312,14.404189335007686,False,-,316.0,316.0,-,0.7126285792279754,0.7,-,-
