tool,mode,threshold,t_wall,t_cpu,timeout,mc time,states,lower_bound,trans,prob,prob LP,heur_iter,info (total states:15875)
fark,z form,8e-06,4.7988340854644775,12.769785279058851,False,-,9072,-,-,8.005035884102729e-06,8e-06,2,-
fark,y form,8e-06,7.5543248653411865,20.999078746070154,False,-,8926,-,-,8.005578779275316e-06,8e-06,3,-
fark,z form,8e-06,7.346173286437988,19.50541475089267,False,-,9072,-,-,8.005035884102729e-06,8e-06,3,-
fark,y form,8e-06,10.442046165466309,29.61264215700794,False,-,8926,-,-,8.005578779275316e-06,8e-06,4,-
fark,z form,8e-06,10.621603727340698,29.18791516905185,False,-,9072,-,-,8.005035884102729e-06,8e-06,4,-
fark,y form,8e-06,12.32283616065979,34.35329728096258,False,-,8926,-,-,8.005578779275316e-06,8e-06,5,-
fark,z form,8e-06,12.561054706573486,33.46076713304501,False,-,9072,-,-,8.005035884102729e-06,8e-06,5,-
fark,y exact,8e-06,1803.0151569843292,7186.258056880906,True,-,8926,4560.0,-,8.011013727060555e-06,8e-06,-,-
fark,z exact,8e-06,1802.1709053516388,7177.936149377027,True,-,8931,1977.0,-,8.06605596102754e-06,8e-06,-,-
comics,global,8e-06,2.47483,-,-,-,9036,-,-,8.00751e-06,-,-,-
comics,local,8e-06,114.208,-,-,-,15515,-,-,8.02755e-06,-,-,-
fark,y form,9e-06,3.066204786300659,8.767406599014066,False,-,15863,-,-,2.5586418975394426e-05,9e-06,1,-
fark,z form,9e-06,1.737015724182129,4.048564506927505,False,-,15872,-,-,1.8215588104061185e-05,9e-06,1,-
fark,y form,9e-06,4.1648969650268555,10.255408392986283,False,-,8974,-,-,9.003353160451077e-06,9e-06,2,-
fark,z form,9e-06,5.159434080123901,14.257700145011768,False,-,9120,-,-,9.002742592253576e-06,9e-06,2,-
fark,y form,9e-06,7.813961505889893,21.965725961956196,False,-,8974,-,-,9.003353160451077e-06,9e-06,3,-
fark,z form,9e-06,7.836068391799927,21.459517230978236,False,-,9120,-,-,9.002742592253576e-06,9e-06,3,-
fark,y form,9e-06,9.578033208847046,26.169623122084886,False,-,8974,-,-,9.003353160451077e-06,9e-06,4,-
fark,z form,9e-06,11.176349878311157,31.39952772099059,False,-,9120,-,-,9.002742592253576e-06,9e-06,4,-
fark,y form,9e-06,12.615720748901367,35.51916809508111,False,-,8974,-,-,9.003353160451077e-06,9e-06,5,-
fark,z form,9e-06,13.625417947769165,37.739373018965125,False,-,9120,-,-,9.002742592253576e-06,9e-06,5,-
fark,y exact,9e-06,1802.9909298419952,7186.283534087939,True,-,8974,4782.0,-,9.009465492047538e-06,9e-06,-,-
fark,z exact,9e-06,1802.189968585968,7178.391396587016,True,-,8979,1935.0,-,9.071367899713034e-06,9e-06,-,-
comics,global,9e-06,2.5128,-,-,-,9088,-,-,9.04682e-06,-,-,-
comics,local,9e-06,115.332,-,-,-,15623,-,-,9.0545e-06,-,-,-
fark,y form,1e-05,1.741830825805664,3.469955203938298,False,-,15863,-,-,2.5586418975394426e-05,1e-05,1,-
fark,z form,1e-05,1.7314698696136475,4.064030705019832,False,-,15872,-,-,1.8215588104061185e-05,1e-05,1,-
fark,y form,1e-05,4.522359848022461,11.733493820996955,False,-,9022,-,-,1.012548502551588e-05,1e-05,2,-
fark,z form,1e-05,4.786423444747925,12.75741321197711,False,-,9164,-,-,1.0028446616826966e-05,1e-05,2,-
fark,y form,1e-05,7.924788236618042,22.451060669962317,False,-,9022,-,-,1.012548502551588e-05,1e-05,3,-
fark,z form,1e-05,7.883962869644165,21.66597748803906,False,-,9164,-,-,1.0028446616826966e-05,1e-05,3,-
fark,y form,1e-05,10.292621850967407,28.988468197989278,False,-,9022,-,-,1.012548502551588e-05,1e-05,4,-
